epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
61,val,3.9206736428397044,3.9206736428397044,0.0,3.920673370361328,0.0,0.0,0.0932539701461792,0.06547619189534869,0.22420634542192733,0.2202380895614624,0.3472222260066441,0.3690476417541504,0.0932539701461792,0.06547619615282331,0.22420634542192733,0.2202380895614624,0.3472222260066441,0.3690476417541504
62,train,4.140047524516979,4.140047524516979,0.0,4.140047524516979,0.0,0.0,,,,,,,,,,,,
62,val,3.9228273119245256,3.9228273119245256,0.0,3.9228273119245256,0.0,0.0,0.09126984221594674,0.07341269935880389,0.22619048186710902,0.22023810659136092,0.35912697655814035,0.36507936886378695,0.09126984221594674,0.07341270787375313,0.22619046483721053,0.2202380895614624,0.35912697655814035,0.36507933480398996
63,train,4.136001003244536,4.136001003244536,0.0,4.136001003244536,0.0,0.0,,,,,,,,,,,,
63,val,3.9187349591936385,3.9187349591936385,0.0,3.9187349591936385,0.0,0.0,0.07936508314950126,0.06746031982558114,0.23015873772757395,0.23015873772757395,0.36706348827907015,0.36706348827907015,0.079365074634552,0.06746031982558114,0.23015872069767543,0.23015873772757395,0.36706348827907015,0.36706348827907015
64,train,4.132506418935402,4.132506418935402,0.0,4.132506418935402,0.0,0.0,,,,,,,,,,,,
64,val,3.906493595668248,3.906493595668248,0.0,3.906493595668248,0.0,0.0,0.08928571428571429,0.06349206396511622,0.22619048186710902,0.22619046483721053,0.3492063454219273,0.37103172710963656,0.08928571428571429,0.06349206396511622,0.22619048186710902,0.22619048186710902,0.3492063454219273,0.3710317611694336
65,train,4.1276998408226,4.1276998408226,0.0,4.1276998408226,0.0,0.0,,,,,,,,,,,,
65,val,3.910836628505162,3.910836628505162,0.0,3.910836628505162,0.0,0.0,0.08928571428571429,0.06746031982558114,0.23809523241860525,0.24007936886378697,0.35912697655814035,0.3730158805847168,0.08928571428571429,0.06746031982558114,0.23809521538870676,0.24007936886378697,0.35912697655814035,0.3730158805847168
66,train,4.125397562329235,4.125397562329235,0.0,4.125397181157299,0.0,0.0,,,,,,,,,,,,
